tarih,stok,kalan_raf_omru,promo,karar,miktar,aciliyet,tedarikci,fire_riski,senaryo,indirim,net_etki_eur,onay,tool_sayisi,kural_mudahalesi,gerekce
2015-06-20,130.1,3,0,bekle,0,orta,yok,0.0,fire riski yok,0.0,0.0,0,4,1,"Mevcut stok, tahmin edilen talebi karşılamakta ve fire riski bulunmamaktadır. Sipariş ihtiyacı negatif olduğu için bekle kararı alındı."
2015-06-22,33.9,2,0,siparis_ver,100,yuksek,Schnellware GmbH,0.0,fire riski yok,0.0,0.0,0,10,1,"Fire riski bulunmamaktadır, bu nedenle indirim senaryoları gereksizdir. Sipariş ihtiyacı 100 adet olarak belirlenmiştir ve bu miktar için Schnellware tedarikçisi kullanılacaktır."
2015-06-23,0.0,3,0,siparis_ver,100,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,6,0,"Fire riski bulunmamaktadır. Sipariş ihtiyacı 100 adet olarak hesaplanmıştır. ExpressLog, aciliyet nedeniyle tercih edilmiştir ve minimum sipariş miktarı sağlanmaktadır."
2015-06-24,416.4,3,0,indirim_uygula,0,yuksek,yok,129.0,%50 indirim,0.5,438.6,1,8,0,"Fire riski var. %50 indirim senaryosunun net etkisi 438.6 EUR, %30 indirim senaryosunun net etkisi ise 433.4 EUR. Politika kısıtı nedeniyle %50 indirim uygulanabilir, bu nedenle daha kârlı senaryoyu seçtim."
2015-06-25,328.0,2,0,indirim_uygula,0,yuksek,yok,124.2,%30 indirim,0.3,417.3,0,8,0,"Fazla stok nedeniyle indirim uygulanması gerekmektedir. %30 indirim senaryosunda net etki 417.3 EUR, %50 indirim senaryosunda ise 422.3 EUR olarak hesaplanmıştır. Ancak, %50 indirim uygulanamaz, bu nedenle %30 indirim uygulanacaktır."
2015-06-26,245.1,1,0,indirim_uygula,0,yuksek,Schnellware GmbH,132.2,%50 indirim,0.5,449.5,1,10,0,"Fire riski nedeniyle fazla stok tespit edildi. %50 indirim senaryosu net etkisi 449.5 EUR, %30 indirim senaryosu net etkisi 444.2 EUR'dan daha yüksek. Ancak, %50 indirim için onay gerekmektedir."
2015-06-27,0.0,3,0,siparis_ver,150,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,11,1,"Mevcut stok 0 adet ve fire riski yok. Sipariş ihtiyacı 150 adet olarak hesaplandı. ExpressLog, aciliyet nedeniyle tercih edilen tedarikçidir."
2015-06-29,370.1,3,1,indirim_uygula,0,yuksek,yok,21.2,%50 indirim,0.5,72.1,1,8,0,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 72.1 EUR, %30 indirimde ise 71.2 EUR olarak hesaplandı. %50 indirim uygulanabilir ve daha kârlı olduğu için bu senaryo seçildi."
2015-06-30,226.7,2,1,bekle,0,dusuk,yok,0.0,fire riski yok,0.0,0.0,0,4,0,"Mevcut stok, tahmin edilen talebi karşılamak için yeterlidir. Sipariş vermeye gerek yoktur. Fire riski bulunmamaktadır."
2015-07-01,96.1,1,1,siparis_ver,50,yuksek,Schnellware GmbH,0.0,fire riski yok,0.0,0.0,0,11,1,Fire riski bulunmamaktadır ve sipariş ihtiyacı 50 adet olarak hesaplanmıştır. Mevcut stok 96.1 adet olduğundan sipariş verilmesi gerekmektedir.
2015-07-02,0.0,3,1,siparis_ver,150,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,7,0,"Fire riski bulunmamaktadır. Sipariş ihtiyacı 150 adet olarak hesaplanmıştır. ExpressLog, aciliyet nedeniyle tercih edilen tedarikçidir ve minimum sipariş miktarı karşılanmaktadır."
